station_name,year,month,hour,count
b'LUXEMBOURG',2022,7,12,31
b'LUXEMBOURG',2022,7,13,31
b'LUXEMBOURG',2022,7,14,31
b'LUXEMBOURG',2022,7,15,31
b'LUXEMBOURG',2022,7,16,31
b'LUXEMBOURG',2022,7,17,31
b'LUXEMBOURG',2022,7,18,31
b'LUXEMBOURG',2022,8,6,31
b'LUXEMBOURG',2022,8,7,31
b'LUXEMBOURG',2022,8,8,31
b'LUXEMBOURG',2022,8,9,31
b'LUXEMBOURG',2022,8,10,31
b'LUXEMBOURG',2022,8,11,31
b'LUXEMBOURG',2022,8,12,31
b'LUXEMBOURG',2022,8,13,31
b'LUXEMBOURG',2022,8,14,31
b'LUXEMBOURG',2022,8,15,31
b'LUXEMBOURG',2022,8,16,31
b'LUXEMBOURG',2022,8,17,31
b'LUXEMBOURG',2022,8,18,31
b'PARIS-MONTSOURIS',2019,6,6,30
b'PARIS-MONTSOURIS',2019,6,7,30
b'PARIS-MONTSOURIS',2019,6,8,30
b'PARIS-MONTSOURIS',2019,6,9,30
b'PARIS-MONTSOURIS',2019,6,10,30
b'PARIS-MONTSOURIS',2019,6,11,30
b'PARIS-MONTSOURIS',2019,6,12,30
b'PARIS-MONTSOURIS',2019,6,13,30
b'PARIS-MONTSOURIS',2019,6,14,30
b'PARIS-MONTSOURIS',2019,6,15,30
b'PARIS-MONTSOURIS',2019,6,16,30
b'PARIS-MONTSOURIS',2019,6,17,30
b'PARIS-MONTSOURIS',2019,6,18,30
b'PARIS-MONTSOURIS',2019,7,6,31
b'PARIS-MONTSOURIS',2019,7,7,31
b'PARIS-MONTSOURIS',2019,7,8,31
b'PARIS-MONTSOURIS',2019,7,9,31
b'PARIS-MONTSOURIS',2019,7,10,31
b'PARIS-MONTSOURIS',2019,7,11,31
b'PARIS-MONTSOURIS',2019,7,12,31
b'PARIS-MONTSOURIS',2019,7,13,31
b'PARIS-MONTSOURIS',2019,7,14,31
b'PARIS-MONTSOURIS',2019,7,15,31
b'PARIS-MONTSOURIS',2019,7,16,31
b'PARIS-MONTSOURIS',2019,7,17,31
b'PARIS-MONTSOURIS',2019,7,18,31
b'PARIS-MONTSOURIS',2019,8,6,31
b'PARIS-MONTSOURIS',2019,8,7,31
b'PARIS-MONTSOURIS',2019,8,8,31
b'PARIS-MONTSOURIS',2019,8,9,31
b'PARIS-MONTSOURIS',2019,8,10,31
b'PARIS-MONTSOURIS',2019,8,11,31
b'PARIS-MONTSOURIS',2019,8,12,31
b'PARIS-MONTSOURIS',2019,8,13,31
b'PARIS-MONTSOURIS',2019,8,14,31
b'PARIS-MONTSOURIS',2019,8,15,31
b'PARIS-MONTSOURIS',2019,8,16,31
b'PARIS-MONTSOURIS',2019,8,17,31
b'PARIS-MONTSOURIS',2019,8,18,31
b'PARIS-MONTSOURIS',2022,6,6,30
b'PARIS-MONTSOURIS',2022,6,7,30
b'PARIS-MONTSOURIS',2022,6,8,30
b'PARIS-MONTSOURIS',2022,6,9,30
b'PARIS-MONTSOURIS',2022,6,10,30
b'PARIS-MONTSOURIS',2022,6,11,30
b'PARIS-MONTSOURIS',2022,6,12,30
b'PARIS-MONTSOURIS',2022,6,13,30
b'PARIS-MONTSOURIS',2022,6,14,30
b'PARIS-MONTSOURIS',2022,6,15,30
b'PARIS-MONTSOURIS',2022,6,16,30
b'PARIS-MONTSOURIS',2022,6,17,30
b'PARIS-MONTSOURIS',2022,6,18,30
b'PARIS-MONTSOURIS',2022,7,6,31
b'PARIS-MONTSOURIS',2022,7,7,31
b'PARIS-MONTSOURIS',2022,7,8,31
b'PARIS-MONTSOURIS',2022,7,9,31
b'PARIS-MONTSOURIS',2022,7,10,31
b'PARIS-MONTSOURIS',2022,7,11,31
b'PARIS-MONTSOURIS',2022,7,12,31
b'PARIS-MONTSOURIS',2022,7,13,31
b'PARIS-MONTSOURIS',2022,7,14,31
b'PARIS-MONTSOURIS',2022,7,15,31
b'PARIS-MONTSOURIS',2022,7,16,31
b'PARIS-MONTSOURIS',2022,7,17,31
b'PARIS-MONTSOURIS',2022,7,18,31
b'PARIS-MONTSOURIS',2022,8,6,31
b'PARIS-MONTSOURIS',2022,8,7,31
b'PARIS-MONTSOURIS',2022,8,8,31
b'PARIS-MONTSOURIS',2022,8,9,31
b'PARIS-MONTSOURIS',2022,8,10,31
b'PARIS-MONTSOURIS',2022,8,11,31
b'PARIS-MONTSOURIS',2022,8,12,31
b'PARIS-MONTSOURIS',2022,8,13,31
b'PARIS-MONTSOURIS',2022,8,14,31
b'PARIS-MONTSOURIS',2022,8,15,31
b'PARIS-MONTSOURIS',2022,8,16,31
b'PARIS-MONTSOURIS',2022,8,17,31
b'PARIS-MONTSOURIS',2022,8,18,31
b'PARIS-MONTSOURIS-DOUBLE',2019,6,6,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,7,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,8,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,9,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,10,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,11,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,12,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,13,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,14,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,15,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,16,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,17,30
b'PARIS-MONTSOURIS-DOUBLE',2019,6,18,30
b'PARIS-MONTSOURIS-DOUBLE',2019,7,6,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,7,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,8,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,9,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,10,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,11,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,12,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,13,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,14,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,15,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,16,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,17,31
b'PARIS-MONTSOURIS-DOUBLE',2019,7,18,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,6,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,7,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,8,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,9,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,10,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,11,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,12,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,13,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,14,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,15,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,16,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,17,31
b'PARIS-MONTSOURIS-DOUBLE',2019,8,18,31
b'PARIS-MONTSOURIS-DOUBLE',2022,6,6,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,7,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,8,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,9,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,10,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,11,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,12,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,13,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,14,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,15,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,16,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,17,30
b'PARIS-MONTSOURIS-DOUBLE',2022,6,18,30
b'PARIS-MONTSOURIS-DOUBLE',2022,7,6,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,7,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,8,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,9,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,10,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,11,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,12,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,13,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,14,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,15,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,16,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,17,31
b'PARIS-MONTSOURIS-DOUBLE',2022,7,18,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,6,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,7,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,8,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,9,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,10,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,11,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,12,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,13,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,14,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,15,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,16,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,17,31
b'PARIS-MONTSOURIS-DOUBLE',2022,8,18,31
b'ST-MAUR',2019,6,6,30
b'ST-MAUR',2019,6,7,30
b'ST-MAUR',2019,6,8,30
b'ST-MAUR',2019,6,9,30
b'ST-MAUR',2019,6,10,30
b'ST-MAUR',2019,6,11,30
b'ST-MAUR',2019,6,12,30
b'ST-MAUR',2019,6,13,30
b'ST-MAUR',2019,6,14,30
b'ST-MAUR',2019,6,15,30
b'ST-MAUR',2019,6,16,30
b'ST-MAUR',2019,6,17,30
b'ST-MAUR',2019,6,18,30
b'ST-MAUR',2019,7,6,31
b'ST-MAUR',2019,7,7,31
b'ST-MAUR',2019,7,8,31
b'ST-MAUR',2019,7,9,31
b'ST-MAUR',2019,7,10,31
b'ST-MAUR',2019,7,11,31
b'ST-MAUR',2019,7,12,31
b'ST-MAUR',2019,7,13,31
b'ST-MAUR',2019,7,14,31
b'ST-MAUR',2019,7,15,31
b'ST-MAUR',2019,7,16,31
b'ST-MAUR',2019,7,17,31
b'ST-MAUR',2019,7,18,31
b'ST-MAUR',2019,8,6,31
b'ST-MAUR',2019,8,7,31
b'ST-MAUR',2019,8,8,31
b'ST-MAUR',2019,8,9,31
b'ST-MAUR',2019,8,10,31
b'ST-MAUR',2019,8,11,31
b'ST-MAUR',2019,8,12,31
b'ST-MAUR',2019,8,13,31
b'ST-MAUR',2019,8,14,31
b'ST-MAUR',2019,8,15,31
b'ST-MAUR',2019,8,16,31
b'ST-MAUR',2019,8,17,31
b'ST-MAUR',2019,8,18,31
b'ST-MAUR',2022,6,6,30
b'ST-MAUR',2022,6,7,30
b'ST-MAUR',2022,6,8,30
b'ST-MAUR',2022,6,9,30
b'ST-MAUR',2022,6,10,30
b'ST-MAUR',2022,6,11,30
b'ST-MAUR',2022,6,12,30
b'ST-MAUR',2022,6,13,30
b'ST-MAUR',2022,6,14,30
b'ST-MAUR',2022,6,15,30
b'ST-MAUR',2022,6,16,30
b'ST-MAUR',2022,6,17,30
b'ST-MAUR',2022,6,18,30
b'ST-MAUR',2022,7,6,31
b'ST-MAUR',2022,7,7,31
b'ST-MAUR',2022,7,8,31
b'ST-MAUR',2022,7,9,31
b'ST-MAUR',2022,7,10,31
b'ST-MAUR',2022,7,11,31
b'ST-MAUR',2022,7,12,31
b'ST-MAUR',2022,7,13,31
b'ST-MAUR',2022,7,14,31
b'ST-MAUR',2022,7,15,31
b'ST-MAUR',2022,7,16,31
b'ST-MAUR',2022,7,17,31
b'ST-MAUR',2022,7,18,31
b'ST-MAUR',2022,8,6,31
b'ST-MAUR',2022,8,7,31
b'ST-MAUR',2022,8,8,31
