file,var,dims,dtype,units,standard_name,long_name
75116008_LONGCHAMP_MTO_1H_2019.nc,lon,,float32,degrees_east,longitude,station longitude
75116008_LONGCHAMP_MTO_1H_2019.nc,lat,,float32,degrees_north,latitude,station latitude
75116008_LONGCHAMP_MTO_1H_2019.nc,alt,,float32,m,height,vertical distance above the sea surface
75116008_LONGCHAMP_MTO_1H_2022.nc,td,8760,float32,Kelvin,dew_point_temperature,
75116008_LONGCHAMP_MTO_1H_2022.nc,ta,8760,float32,Kelvin,air_temperature,
75116008_LONGCHAMP_MTO_1H_2022.nc,ta_max,8760,float32,Kelvin,,air_temperature maximum
75116008_LONGCHAMP_MTO_1H_2022.nc,ta_min,8760,float32,Kelvin,,air_temperature minimum
75116008_LONGCHAMP_MTO_1H_2022.nc,rh,8760,float32,%,relative_humidity,
75116008_LONGCHAMP_MTO_1H_2022.nc,rh_max,8760,float32,%,,relative_humidity maximum
75116008_LONGCHAMP_MTO_1H_2022.nc,rh_min,8760,float32,%,,relative_humidity minimum
75116008_LONGCHAMP_MTO_1H_2022.nc,wd,8760,float32,degree,wind_from_direction,
75116008_LONGCHAMP_MTO_1H_2022.nc,ws,8760,float32,m.s^-1,wind_speed,
75116008_LONGCHAMP_MTO_1H_2022.nc,dxi,8760,float32,degree,wind_from_direction,
75116008_LONGCHAMP_MTO_1H_2022.nc,ws_max,8760,float32,m.s^-1,wind_speed_of_gust,
75116008_LONGCHAMP_MTO_1H_2022.nc,dxy,8760,float32,degree,maximal_direction_mean_wind,
75116008_LONGCHAMP_MTO_1H_2022.nc,mws_max,8760,float32,m.s^-1,mean_wind_speed_of_gust,
75116008_LONGCHAMP_MTO_1H_2022.nc,cumul_precip,8760,float32,mm,precipitation_amount,
75116008_LONGCHAMP_MTO_1H_2022.nc,ts_10,8760,float32,Kelvin,,soil temperature at -10cm
75116008_LONGCHAMP_MTO_1H_2022.nc,ts_20,8760,float32,Kelvin,,soil temperature at -20cm
75116008_LONGCHAMP_MTO_1H_2022.nc,ts_50,8760,float32,Kelvin,,soil temperature at -50cm
75116008_LONGCHAMP_MTO_1H_2022.nc,ts_100,8760,float32,Kelvin,,soil temperature at -100cm
75116008_LONGCHAMP_MTO_1H_2022.nc,visi,8760,float32,m,visibility_in_air,
75116008_LONGCHAMP_MTO_1H_2022.nc,soil_st,8760,float32,code,,soil state
75116008_LONGCHAMP_MTO_1H_2022.nc,snow_height,8760,float32,m,surface_snow_thickness,
75116008_LONGCHAMP_MTO_1H_2022.nc,nebulosity,8760,float32,octa,,total nebulosity in octa
75116008_LONGCHAMP_MTO_1H_2022.nc,insolh_duration,8760,float32,mn,,duration of insolation
75116008_LONGCHAMP_MTO_1H_2022.nc,glo,8760,float32,J.m-2,integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time,
75116008_LONGCHAMP_MTO_1H_2022.nc,pres,8760,float32,Pa,air_pressure,
75116008_LONGCHAMP_MTO_1H_2022.nc,pres_sl,8760,float32,Pa,air_pressure_at_sea_level,
75116008_LONGCHAMP_MTO_1H_2022.nc,time,8760,datetime64[ns],,time,
75116008_LONGCHAMP_MTO_1H_2022.nc,station_name,,|S9,,,timeseries_id
75116008_LONGCHAMP_MTO_1H_2022.nc,lon,,float32,degrees_east,longitude,station longitude
75116008_LONGCHAMP_MTO_1H_2022.nc,lat,,float32,degrees_north,latitude,station latitude
75116008_LONGCHAMP_MTO_1H_2022.nc,alt,,float32,m,height,vertical distance above the sea surface
75106001_LUXEMBOURG_MTO_1H_2019.nc,td,8760,float32,Kelvin,dew_point_temperature,
75106001_LUXEMBOURG_MTO_1H_2019.nc,ta,8760,float32,Kelvin,air_temperature,
75106001_LUXEMBOURG_MTO_1H_2019.nc,ta_max,8760,float32,Kelvin,,air_temperature maximum
75106001_LUXEMBOURG_MTO_1H_2019.nc,ta_min,8760,float32,Kelvin,,air_temperature minimum
